"日期","星期","用信金额_USD","本金回款金额_USD","服务费回款金额_USD","利息回款金额_USD","总回款金额_USD","净本金投放金额_USD"
"2026-08-11",周二,1361664.35,1375202.98,37600.36,43179.79,1455983.12,-13538.62
"2026-08-10",周一,1361535.69,1374648.24,37666.83,42907.11,1455222.18,-13112.55
"2026-08-09",周日,1236279.02,1047159.23,30605.00,32410.55,1110174.77,189119.80
"2026-08-08",周六,1384371.94,1299077.48,36030.25,38122.80,1373230.53,85294.46
"2026-08-07",周五,1372086.98,1416141.61,38328.08,44157.14,1498626.82,-44054.62
"2026-08-06",周四,1361386.51,1364474.84,37105.94,43272.30,1444853.08,-3088.34
"2026-08-05",周三,1341909.45,1356280.24,37082.34,43996.77,1437359.35,-14370.79
"2026-08-04",周二,1368483.20,1447796.69,38819.45,48848.59,1535464.73,-79313.49
"2026-08-03",周一,1360851.13,1430533.63,38302.08,47189.87,1516025.59,-69682.50
"2026-08-02",周日,1231051.65,1064713.07,30518.65,33841.31,1129073.04,166338.57
"2026-08-01",周六,1425839.72,1406774.39,37850.86,44825.85,1489451.10,19065.33
"2026-07-31",周五,1420107.97,1587163.17,41388.29,54653.86,1683205.32,-167055.20
"2026-07-30",周四,1376189.49,1449217.03,38000.05,48967.91,1536184.99,-73027.54
"2026-07-29",周三,1281358.02,1350825.07,35930.10,44671.40,1431426.57,-69467.05
"2026-07-28",周二,1225214.49,1146906.16,31748.68,37492.06,1216146.90,78308.33
"2026-07-27",周一,1351704.41,1431374.46,37754.79,46162.71,1515291.95,-79670.05
"2026-07-26",周日,1205384.64,1025521.07,29034.56,32777.51,1087333.14,179863.58
"2026-07-25",周六,1337523.72,1263492.48,35050.55,39715.46,1338258.49,74031.24
"2026-07-24",周五,1364712.58,1443834.79,39401.01,47052.09,1530287.90,-79122.21
"2026-07-23",周四,1308987.89,1331492.87,37133.60,43438.17,1412064.64,-22504.98
"2026-07-22",周三,1289624.75,1291349.57,37839.65,41775.21,1370964.44,-1724.82
"2026-07-21",周二,1297901.32,1309195.46,37381.03,41790.43,1388366.92,-11294.13
"2026-07-20",周一,1318345.20,1312730.52,37479.84,42183.41,1392393.76,5614.69
"2026-07-19",周日,1223997.37,1009351.15,31219.63,31965.90,1072536.67,214646.22
"2026-07-18",周六,1345178.47,1207146.68,36989.28,36756.35,1280892.31,138031.80
"2026-07-17",周五,1367584.00,1312859.87,37871.83,40290.77,1391022.47,54724.13
"2026-07-16",周四,1290332.19,1272656.94,37142.17,40067.81,1349866.93,17675.25
"2026-07-15",周三,1253157.75,1256113.70,34690.71,38864.98,1329669.38,-2955.95
"2026-07-14",周二,1262281.08,1254004.96,34886.68,39541.85,1328433.49,8276.12
"2026-07-13",周一,1250139.93,1254706.19,34635.85,38325.00,1327667.04,-4566.27
"2026-07-12",周日,1141304.57,967655.98,28075.70,29480.91,1025212.58,173648.59
"2026-07-11",周六,1296664.27,1238678.15,34630.70,36016.37,1309325.22,57986.11
